Date,Open,High,Low,Close,Adj Close,Volume
2014-12-24,65.900002,66.400002,65.849998,66.300003,58.168304,6920000
2014-12-25,66.349998,66.400002,66.150002,66.300003,58.168304,4400000
2014-12-26,66.349998,66.500000,66.199997,66.449997,58.299904,6262000
2014-12-29,66.599998,67.300003,66.550003,67.199997,58.957912,11043000
2014-12-30,67.150002,67.449997,66.849998,66.849998,58.650845,8556000
2014-12-31,null,null,null,null,null,null
2015-01-05,66.400002,66.750000,66.000000,66.550003,58.387642,6283000
2015-01-06,65.750000,65.750000,64.750000,64.900002,56.940010,19469000
2015-01-07,64.699997,65.250000,64.699997,65.000000,57.027740,6979000
2015-01-08,65.500000,66.599998,65.500000,66.500000,58.343769,13117000
2015-01-09,66.900002,66.949997,66.050003,66.150002,58.036697,5877000
